path_index,n4_c0,n4_c5,n4_c20,n16_c0,n16_c5,n16_c20,n64_c0,n64_c5,n64_c20,n256_c0,n256_c5,n256_c20
4403,-144.01804402639522,-150.29184763965074,-169.11325847941634,-20.608626394099037,-27.045010943155773,-46.354164590327393,-1.8354893882197387,-10.90046059096905,-38.095374199207953,-6.0041014901383853,-22.086564444614687,-70.333953308050823
4404,29.423521981847841,24.230849070181762,8.6528303351865929,-59.56953168884138,-72.716059500703523,-112.15564293629177,-12.080686500036109,-32.621857725740483,-94.245371402844285,-6.1852701544884923,-44.238940834836477,-158.39995287587556
4405,53.765077621816715,45.205885185158593,19.52830787519423,19.676350082989927,6.3312619012437494,-33.704002643967499,-29.307401867510009,-51.109397944686236,-116.51538617622401,0.99196768421887782,-29.247706518260486,-119.96672912566947
4406,174.00065456888933,166.64104978909108,144.56223544970362,83.441158621039904,70.189518978764681,30.434600051948109,-9.3088421529334937,-32.28485219303866,-101.21288231334574,3.1420923660198241,-40.633691263505625,-171.96104215205924
4407,-127.1127704134806,-134.02571676031198,-154.76455580080241,-0.33964894048550809,-8.2174253364972198,-31.850754524524252,29.339872175867971,17.368645762419412,-18.545033477912227,13.252554744629368,-8.1871847297884308,-72.506403153041077
4408,57.045700701420174,47.719903695469839,19.742512677628838,109.4870278461849,99.260624042766267,68.58141263249945,9.4509611254166828,-12.036907144943655,-76.500511956011366,-8.6991257794721406,-52.636762926365591,-184.44967436703078
4409,65.13849270976516,55.595092642656709,26.964892441329539,30.826001362763236,15.98050851174321,-28.55597004133142,-11.917482389281759,-33.679377043975364,-98.965061008054363,-25.189475319942176,-63.981301196382447,-180.35677882572145
4410,16.856849494134423,11.670459918711146,-3.8887088075515521,21.797939295322443,15.445668009512602,-3.6111458479224181,-55.700316939148472,-70.164731509941234,-113.55797522231219,-19.746421764696258,-42.428962019641162,-110.47658278448968
4411,11.279008978766356,6.0954083236019159,-9.4553936418884206,13.850751001286993,6.7390019638326413,-14.596245148527226,-21.178686204460178,-34.129943189453584,-72.983714144423217,-6.5698713265704383,-29.129770481298582,-96.809467945498085
4412,48.272874209944746,41.077264824701558,19.490436668974723,-151.27942378872336,-172.11864529875362,-234.63630982883529,-28.8714317575255,-54.314477527034398,-130.6436148355611,-6.8993316667206841,-47.764449110047792,-170.35980144002366
4413,-18.676847839420418,-28.543079519933428,-58.141774561463365,-0.5993199860639038,-12.132504676788642,-46.732058748944667,4.707854428719827,-10.02983706184915,-54.242911533568815,2.4648831848118675,-19.076458862464108,-83.700485004166524
4414,-190.49861838831043,-201.75458060476399,-235.52246725412829,-43.53387102961301,-55.447281658758811,-91.187513546174387,-11.293003281485881,-24.612671352664847,-64.571675566174463,-2.4584213341952363,-19.282155268110955,-69.753357069865388
4415,5.7793932183969332,-5.1265345353356793,-37.844317796522603,-161.9373662115002,-179.81882972647583,-233.46322027139905,-52.134435953212972,-74.211513380677218,-140.44274566305359,-20.754972315834323,-54.141716965916942,-154.30195091611569
4416,-22.307278226773235,-30.05112521102825,-53.282666163796023,63.727256422082917,49.1258874989025,5.3217807293594319,26.579967617592899,1.8186777110376511,-72.465192008624456,1.3650522059805894,-41.424648623838095,-169.79375111329597
4417,74.578494441425562,65.064257557357621,36.521546905151979,64.291799170813817,52.163277524315333,15.777712584825338,31.322375967648611,12.456953692478407,-44.13931313303766,4.2612905530015155,-27.633685693649397,-123.31861443363306
4418,24.219743696903322,19.029672674379526,3.459459606812743,-7.3327173784247917,-15.041973638775826,-38.169742419830968,26.134617704833328,16.526867644898989,-12.296382534900403,3.9032957607485841,-16.041012698694733,-75.873938077021464
4419,-233.52371079957868,-242.30649445634356,-268.65484542663091,-60.021770289030997,-76.633731657438716,-126.46961576266551,-19.068861121800751,-42.39162107859886,-112.35990094899137,7.4370241006766946,-26.931010544425249,-130.03511447970925
4420,27.990948314582226,18.961109893101082,-8.1284053713350772,40.59067961044201,28.30998652364832,-8.5320927367109221,28.840773931789215,10.054178487488741,-46.305607845425413,14.288775263939158,-17.306590253951811,-112.0926868076611
4421,56.952365512816243,49.694800517745819,27.922105532540002,50.608879016928142,36.196791784095069,-7.039469914407789,52.818290402639207,31.58218301995413,-32.126139128093826,3.0868516832845785,-36.729031586401732,-156.17668139542428
4422,56.98815376739185,47.432375546703042,18.7650408846348,2.4544220478310308,-10.079493044358969,-47.681238320916236,1.6761646089726128,-16.33564649264008,-70.37107979749635,5.4750756416560762,-22.025186861366819,-104.52597437039003
4423,-21.152686379902207,-27.367099741730954,-46.010339827213329,6.1608676821014363,-3.5552452879216538,-32.703584197989045,5.4632947594680958,-11.573972789407067,-62.685775436023036,-4.8524736360040901,-34.374690378856826,-122.94134060737861
4424,-251.36805881521434,-263.97775547540061,-301.80684545596398,-28.201151413312459,-44.350726959938243,-92.799453599804679,6.1233407050925734,-15.943101693516496,-82.142428889363714,25.158269522923888,-6.8210385630724204,-102.75896282108317
4425,24.66117604936062,17.563038769411833,-3.7313730704327099,-78.584361839344183,-91.957965375426966,-132.07877598367304,12.006097055180362,-6.3013454256313253,-61.223672868064568,9.1482439068631436,-24.732592379016239,-126.37510123663722
4426,109.12860032460196,103.89607487376531,88.198498521256511,56.972102880331931,47.433553575776614,18.81790566210725,42.035889236981518,26.099321016509862,-21.710383644914714,-16.208862803455304,-55.228218834078689,-172.28628692594884
4427,28.165580483338204,18.467466932046705,-10.626873721819607,-13.480038351811231,-30.470991811257477,-81.443852189599852,-41.576900145296236,-66.725139475977699,-142.16985746801845,-12.100412839164051,-52.199047557126391,-172.49495171100432
4428,84.013284538792504,75.39424946663712,49.537144250178244,23.987123302512373,10.023638597261197,-31.866815518508702,44.883794398591817,23.445017849425312,-40.871311798086936,-28.256264154741984,-71.92867969072995,-202.94592629861563
4429,-256.9848686954756,-264.05012579320555,-285.24589708639451,-9.9784456198366875,-19.619492885413568,-48.542634682136978,11.467064352847094,-4.6037840527966445,-52.816329269727916,8.9185227278921531,-21.792491747131045,-113.92553517221364
4430,21.119758716704723,10.463883522858282,-21.503742058677403,-11.444788236801855,-25.225231104828367,-66.566559708909722,26.343272847431194,7.981540772065614,-47.103655454031127,16.502247734304888,-13.980400468975517,-105.4283450788331
4431,-271.88704724417283,-285.4187517555153,-326.01386528954998,-92.011846728214266,-107.9596068684811,-155.80288728927798,-38.723211368762975,-59.315614965990505,-121.09282575768037,-16.756388544564004,-47.696139218573705,-140.51539124055915
4432,-71.350786812741262,-82.059635108156272,-114.18617999439039,-5.0060794706655543,-16.058564307609686,-49.216018818440261,2.1179137220556186,-11.670989042322162,-53.037697335466419,2.2007992321546226,-16.615699343837605,-73.065195071825201
4433,39.870208209047632,31.071444017963586,4.6751514447123554,-103.72744538415859,-115.33575246147689,-150.16067369343617,-16.722852324196978,-35.165486855842317,-90.493390450775522,10.961666167737649,-21.122814004881224,-117.37625452277362
4434,-115.47064527070347,-120.65895964331642,-136.22390276115385,-26.834983250491099,-32.395006238577778,-49.07507520283599,1.8834733579896339,-5.3646912170737764,-27.109184942255407,4.7474513380091112,-6.9090181232700232,-41.878426507112458
4435,12.63217311142273,7.447895874192227,-8.1049358374971234,-17.244231043608231,-25.22747782842746,-49.177218182875066,-10.391364665896546,-23.269596056464785,-61.904290228166104,-5.4555644291450465,-27.868418580848207,-95.106981035959947
4436,-28.04990074218972,-38.712191184209814,-70.699062510270096,-19.311158740129258,-32.127211612163819,-70.57537022828933,3.6491468699348388,-12.762741403638074,-61.998406224373184,-3.5387553032962842,-28.538709777542181,-103.53857320015618
4437,79.804127938136048,74.006081895370812,56.611943767076468,-73.03559856562191,-84.281084370415044,-118.01754178478632,-14.261772883669323,-40.392540608932791,-118.78484378471865,-28.238157703036336,-72.245121049468139,-204.26601108875809
4438,96.288112919363698,91.06200771222916,75.383692090828276,40.200166737875406,29.921438639552889,-0.91474565541102493,4.9616330352821976,-12.910173687986795,-66.525593857797872,-11.585226570243698,-49.664380444389622,-163.90184206679709
4439,144.65124519984431,135.7673795524953,109.11578261044735,42.508566743708911,27.416829456162418,-17.858382406486157,43.188325787034159,20.77671471737824,-46.45811849156587,30.734718429163081,-8.1752819823167329,-124.90528321675163
4440,-66.444332616282054,-74.246670202662244,-97.653682961805089,-129.45188421983949,-141.90307152370815,-179.25663343531551,-47.011547236623663,-67.672614590329033,-129.65581665144236,-12.096870293083597,-44.615902073220951,-142.17299741367572
4441,54.929751296229369,49.218861024454327,32.086190209131928,17.173928013391627,8.0054905392893865,-19.499821883021188,4.0686738784271244,-11.728761806951718,-59.12106886309207,10.42387098579532,-17.481779242791472,-101.19872992853706
4442,-43.658005624432782,-48.814137772295126,-64.282534215880673,-24.54044016307444,-31.429550919467239,-52.096883188641243,-4.0114176198231206,-12.431524734886974,-37.691846080069169,-7.6868763580196431,-22.566614543012346,-67.205829097966358
4443,160.94459604912663,153.17492844123444,129.86592561756424,48.846922998029186,35.33988891372428,-5.1812133391895259,33.903980224748466,8.7090911341833817,-66.875576137515054,5.3251088035813154,-46.720331753853316,-202.8566534261472
4444,137.81884430301852,131.02709156509627,110.65183335132724,23.926504348075468,9.9066949207663129,-32.152733361163882,-18.934897435610765,-44.838200760217205,-122.54811073403744,-9.8500219735535097,-54.756711398697746,-189.47677967411903
4445,-84.683628648597733,-93.546965526742497,-120.1369761611777,60.168739545284552,49.991102597133249,19.45819175267934,40.889600431178891,22.175893421161177,-33.965227608893301,15.66345960254368,-20.082227462193082,-127.31928865640205
4446,-9.9916995450846571,-21.062733990624793,-54.27583732724338,16.527893201696543,1.7526494785990963,-42.573081690691424,35.544653547033931,15.971025042273368,-42.749860471984675,15.358991641892544,-17.139988611178296,-114.63692937041992
4447,91.200873571675402,84.44338331385643,64.170912540404515,52.193984016712193,43.449993150379896,17.218020551385052,4.736979539530239,-12.674299965827231,-64.908138481895094,2.6685171863086641,-28.503761522314306,-122.02059764817696
4448,-8.2890590243023325,-19.288092725751994,-52.285193830099161,-115.37214928665708,-132.77379511253184,-184.97873259015432,0.36808437865784072,-25.379863303118327,-102.62370634844592,5.8892960526793559,-37.949717364899016,-169.46675761760503
4449,-33.432066007628805,-44.964030432455388,-79.559923706933318,5.1415536416274108,-7.9298098735731628,-47.143900419174884,17.341550329808683,-0.87062221006328855,-55.507139829697394,-6.2003041715457812,-36.434914069509091,-127.13874376343904
4450,-134.68748733345535,-144.59918566449494,-174.33428065760825,-15.80616386976078,-26.580415727453214,-58.90317130052324,-25.197423359419986,-42.814536186889086,-95.665874669281834,-2.4006162304693817,-25.922967721165037,-96.490022193284744
4451,56.142381198557587,50.507092218966136,33.601225280198832,47.96873595461642,38.356515185737408,9.5198528791140262,13.828626174421487,-2.9881862092413174,-53.438623360245401,-4.6816094661986734,-38.4159099861239,-139.61881154590048
4452,-47.73726198982834,-52.891354509508254,-68.353632068545679,8.2017918028320302,2.4994063554641035,-14.607749986641819,-1.5477134432193773,-10.519840815133357,-37.436222930882437,6.7561484002818784,-7.6102300633140798,-50.709365454094424
