date,VOO,AMZN,GOOGL,RF
2025-07-14,567.645752,225.6900024,180.9272308,0.0002
2025-07-15,565.1848755,226.3500061,181.3657074,0.0002
2025-07-16,567.0429077,223.1900024,182.3323212,0.0002
2025-07-17,570.4428101,223.8800049,182.9401703,0.0002
2025-07-18,570.185791,226.1300049,184.4150238,0.0002
2025-07-21,571.2037964,229.3000031,189.4374542,0.0002
2025-07-22,571.2037964,227.4700012,190.6731262,0.0002
2025-07-23,576.0564575,228.2899933,189.5670319,0.0002
2025-07-24,576.4517822,232.2299957,191.5002289,0.0002
2025-07-25,578.744812,231.4400024,192.5067291,0.0002
2025-07-28,578.6063843,232.7899933,191.9088135,0.0002
2025-07-29,577.104126,231.0099945,195.0677795,0.0002
2025-07-30,576.4024658,230.1900024,195.8450623,0.0002
2025-07-31,574.2379761,234.1100006,191.2312012,0.0002
2025-08-01,564.7796631,214.75,188.4708557,0.0002
2025-08-04,573.3682251,211.6499939,194.36026,0.0002
2025-08-05,570.6107788,213.75,193.9915161,0.0002
2025-08-06,574.850708,222.3099976,195.4065857,0.0002
2025-08-07,574.5047607,223.1300049,195.835083,0.0002
2025-08-08,578.902832,222.6900024,200.7180023,0.0002
2025-08-11,577.7168579,221.3000031,200.299469,0.0002
2025-08-12,583.8840942,221.4700012,202.6313171,0.0002
2025-08-13,585.9200439,224.5599976,201.256134,0.0002
2025-08-14,585.9298096,230.9799957,202.2327118,0.0002
2025-08-15,584.6647949,231.0299988,203.1893616,0.0002
2025-08-18,584.4572144,231.4900055,202.7907562,0.0002
2025-08-19,581.2649536,228.0099945,200.8675079,0.0002
2025-08-20,579.7330322,223.8099976,198.6253357,0.0002
2025-08-21,577.4500122,221.9499969,199.0538483,0.0002
2025-08-22,586.2857056,228.8399963,205.3717346,0.0002
2025-08-25,583.8049927,227.9400024,207.7633667,0.0002
2025-08-26,586.1373901,228.7100067,206.4180756,0.0002
2025-08-27,587.4815674,229.1199951,206.7568665,0.0002
2025-08-28,589.5570679,231.6000061,210.9023895,0.0002
2025-08-29,586.1571655,229,212.1679688,0.0002
2025-09-02,581.8381958,225.3399963,210.6134186,0.0002
2025-09-03,584.8129883,225.9900055,229.8561249,0.0002
2025-09-04,589.6262207,235.6799927,231.490387,0.0002
2025-09-05,588.0152588,232.3300018,234.1809845,0.0002
2025-09-08,589.5372925,235.8399963,233.4329224,0.0002
2025-09-09,590.9703979,238.2400055,239.0084381,0.0002
2025-09-10,592.6801758,230.3300018,238.5496216,0.0002
2025-09-11,597.5130615,229.9499969,239.746521,0.0002
2025-09-12,597.3845825,228.1499939,240.1753998,0.0002
2025-09-15,600.4978638,231.4299927,250.9573364,0.0002
2025-09-16,599.7071533,234.0500031,250.5085144,0.0002
2025-09-17,599.0153198,231.6199951,248.8827362,0.0002
2025-09-18,601.8320923,231.2299957,251.3762512,0.0002
2025-09-19,604.6389771,231.4799957,254.0592804,0.0002
2025-09-22,607.5841064,227.6300049,251.8749542,0.0002
2025-09-23,604.4017334,220.7100067,251.0072174,0.0002
2025-09-24,602.385498,220.2100067,246.4989471,0.0002
2025-09-25,599.5095825,218.1499939,245.1524353,0.0002
2025-09-26,603.0377808,219.7799988,245.9004822,0.0002
2025-09-29,604.7327271,222.1699982,243.4169617,0.0002
2025-09-30,606.9627686,219.5700073,242.4694366,0.0002
2025-10-01,609.1334229,220.6300049,244.2647552,0.0002
2025-10-02,609.8074341,222.4100037,245.0527191,0.0002
2025-10-03,609.8569336,219.5099945,244.7135773,0.0002
2025-10-06,611.9384155,220.8999939,249.7804108,0.0002
2025-10-07,609.7578735,221.7799988,245.1225281,0.0002
2025-10-08,613.2962646,225.2200012,243.9854736,0.0002
2025-10-09,611.6410522,227.7400055,240.9034882,0.0002
2025-10-10,595.1978149,216.3699951,235.9563446,0.0002
2025-10-13,604.2172852,220.0700073,243.5167084,0.0002
2025-10-14,603.3649292,216.3899994,244.813324,0.0002
2025-10-15,606.0211792,215.5700073,250.3788452,0.0002
2025-10-16,602.0169067,214.4700012,250.807724,0.0002
2025-10-17,605.3571167,213.0399933,252.6429749,0.0002
2025-10-20,611.7103882,216.4799957,255.8845367,0.0002
2025-10-21,611.6311646,222.0299988,249.810318,0.0002
2025-10-22,608.5386963,217.9499969,251.0371552,0.0002
2025-10-23,611.9780273,221.0899963,252.4235382,0.0002
2025-10-24,617.0427856,224.2100067,259.2458191,0.0002
2025-10-27,624.4269409,226.9700012,268.5715027,0.0002
2025-10-28,626.1019897,229.25,266.7762146,0.0002
2025-10-29,626.3596802,230.3000031,273.8578186,0.0002
2025-10-30,619.7089844,222.8600006,280.7499084,0.0002
2025-10-31,621.493103,244.2200012,280.4606323,0.0002
2025-11-03,622.7122192,254,282.9840393,0.0002
2025-11-04,615.496582,249.3200073,276.8200989,0.0002
2025-11-05,617.3500977,250.1999969,283.5725098,0.0002
2025-11-06,610.7886353,243.0399933,284.0114136,0.0002
2025-11-07,611.4329224,244.4100037,278.1066895,0.0002
2025-11-10,620.9281006,248.3999939,289.3475037,0.0002
2025-11-11,622.3553467,249.1000061,290.5543823,0.0002
2025-11-12,622.6626587,244.1999969,285.9663086,0.0002
2025-11-13,612.5231323,237.5800018,277.8474426,0.0002
2025-11-14,612.364624,234.6900024,275.6930237,0.0002
2025-11-17,606.6257935,232.8699951,284.2806396,0.0002
2025-11-18,601.6303711,222.5500031,283.5426331,0.0002
2025-11-19,603.8109131,222.6900024,292.0504456,0.0002
2025-11-20,594.65271,217.1399994,288.6992188,0.0002
2025-11-21,600.5698242,220.6900024,298.8826904,0.0002
2025-11-24,609.5001221,226.2799988,317.7536011,0.0002
2025-11-25,615.1694946,229.6699982,322.6010132,0.0002
2025-11-26,619.4216309,229.1600037,319.1201172,0.0002
2025-11-28,622.8510132,233.2200012,319.3494873,0.0002
2025-12-01,619.9865723,233.8800049,314.0732117,0.0002
2025-12-02,621.0372314,234.4199982,314.9908142,0.0002
2025-12-03,623.2077637,232.3800049,318.8009338,0.0002
2025-12-04,623.7330933,229.1100006,316.7961121,0.0002
2025-12-05,624.90271,229.5299988,320.436615,0.0002
2025-12-08,623.0491943,226.8899994,313.1109009,0.0002
2025-12-09,622.5437012,227.9199982,316.464386,0.0002
2025-12-10,626.5678101,231.7799988,319.5883179,0.0002
2025-12-11,628.104126,230.2799988,311.8234253,0.0002
2025-12-12,621.324646,226.1900024,308.6895142,0.0002
2025-12-15,620.4226685,222.5399933,307.621582,0.0002
2025-12-16,618.6881714,222.5599976,305.9747925,0.0002
2025-12-17,611.888855,221.2700043,296.1439209,0.0002
